LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID430809,430809,5,79.14310455322266,1.8378274088340008,5.475046981158059,0.7894997500454645,26.75217604637146,7,0.1,1,,64.21518987341773,63.0,31.0,98.0,5073.0,17.532878189039327,6.6455696202531644,6.0,1.0,18.0,525.0,4.025680304614697,0.36852639573349,1.9725588659757383,0.05266968729026672,0.1651929647605881
ID430891,430891,5,68.83633422851562,1.7160159819406364,5.578506515965613,0.8866434090931067,30.573915481567383,8,0.1,1,,57.29113924050633,57.0,28.0,86.0,4526.0,14.814365774506728,12.430379746835444,10.0,2.0,36.0,982.0,8.684916993689512,0.3572610542563724,2.03590110734626,0.09896156339033002,0.2577702333592172
ID430887,430887,5,35.128108978271484,1.489718281074619,5.611964633015649,0.9472819312068206,34.395654916763306,9,0.1,1,,32.075949367088604,33.0,15.0,46.0,2534.0,7.818079231447987,13.670886075949367,12.0,3.0,34.0,1080.0,7.709004922628557,0.3274834653919193,2.024275899306469,0.0672830262744328,0.2235909655041993
ID430894,430894,5,37.43103790283203,1.3245076311872348,5.5460620011659705,1.1727857663364938,38.21739435195923,10,0.1,1,,34.89873417721519,35.0,16.0,51.0,2757.0,8.970885867568773,108.07594936708861,100.0,18.0,258.0,8538.0,63.829052976640966,0.3371486771588622,1.961761016360436,0.12939661748343942,0.3879869291659473
ID430897,430897,5,39.781558990478516,1.504044075172333,5.495051288249571,1.1023838963203354,42.03913378715515,11,0.1,1,,36.54430379746835,36.0,19.0,53.0,2887.0,8.994011495340592,39.151898734177216,25.0,3.0,168.0,3093.0,38.73582076645791,0.3385545357425048,2.055364335893033,-0.12957319396873673,-0.3009213273015153
ID430900,430900,5,60.78519821166992,1.6090738399936266,5.719037307468826,1.0207159318276156,45.860873222351074,12,0.1,1,,51.45569620253165,53.0,24.0,77.0,4065.0,13.996150998696704,7.30379746835443,4.0,0.0,42.0,577.0,8.050090667397903,0.3546393899772051,1.924944030408898,-0.289683448858371,-0.7400306268453883
ID430928,430928,5,60.89393615722656,1.6621677163605413,5.669787308013824,1.149694500359382,49.682612657547,13,0.1,1,,53.0126582278481,51.0,29.0,80.0,4188.0,13.733258965649473,0.9746835443037974,0.0,0.0,5.0,77.0,1.3202047582477865,0.35743501971309544,2.032890652774736,-0.4146465073063604,-1.0459529119441222
ID430913,430913,5,73.16230010986328,1.6978277944509632,5.397729833308696,0.8874767908291474,53.50435209274292,14,0.1,1,,59.48101265822785,61.0,25.0,91.0,4699.0,17.116389476316723,33.70886075949367,29.0,8.0,97.0,2663.0,20.55957690546295,0.3621967923584789,1.8479956127426544,0.08088423067838257,0.245383058892825
ID430922,430922,5,63.90777587890625,1.744241190874884,5.418367414076754,1.007042590058617,57.32609152793884,15,0.1,1,,53.924050632911396,53.0,27.0,79.0,4260.0,13.114654312676075,16.354430379746834,12.0,2.0,57.0,1292.0,13.02565316506244,0.35267319659009216,2.1440515630044232,0.0024343170819230062,0.006097995911628009
ID430969,430969,5,50.2819709777832,1.8174537551833918,5.512232375849111,1.1847226431197275,61.147830963134766,16,0.1,1,,43.24050632911393,43.0,25.0,63.0,3416.0,10.29838821079998,17.860759493670887,10.0,0.0,104.0,1411.0,20.64270789308815,0.3494160990423312,2.1744455198734634,-0.251725732939329,-0.5821435029912223
