LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID589555,589555,8,16.308805465698242,4.861552046666696,4.690202877851747,2.1622750554902006,26.7580406665802,7,0.1,1,,12.658227848101266,12.0,6.0,19.0,1000.0,3.4562692052579664,0.0,0.0,0.0,0.0,0.0,0.0,0.3725867732200695,1.9883048249064958,NaN,NaN
ID589796,589796,8,4.268877029418945,4.708584163637506,4.6721543298666095,2.4288447762512084,30.580617904663086,8,0.1,1,,3.5063291139240507,4.0,1.0,5.0,277.0,0.875205729975837,0.0,0.0,0.0,0.0,0.0,0.0,0.2852337315856629,1.7782437438646779,NaN,NaN
ID589870,589870,8,5.0079522132873535,4.528234022526321,4.647847259749624,2.4171605062748416,34.40319514274597,9,0.1,1,,5.063291139240507,5.0,3.0,7.0,400.0,1.0662872580666771,0.0,0.0,0.0,0.0,0.0,0.0,0.2611003100204929,1.9662848418308059,NaN,NaN
ID590243,590243,8,7.175350666046143,4.50022037808906,4.595276298067702,2.1819425813951137,38.22577238082886,10,0.1,1,,7.3544303797468356,7.0,4.0,9.0,581.0,1.2303634514463528,0.35443037974683544,0.0,0.0,2.0,28.0,0.5320009322226339,0.2543102672815482,2.4238432586882204,0.10188019239177967,0.1231980752066023
ID590391,590391,8,4.315129280090332,4.397758363839162,4.491987918284021,2.1126232935499485,42.04834961891174,11,0.1,1,,5.063291139240507,5.0,3.0,6.0,400.0,0.8218455178297741,0.0,0.0,0.0,0.0,0.0,0.0,0.22138440529605852,2.233404358412419,-1.0,-Infinity
ID590174,590174,8,6.517072677612305,4.252056609923411,4.4835240358827555,2.1163224821655713,45.87092685699463,12,0.1,1,,5.1265822784810124,5.0,3.0,8.0,405.0,1.34323651054893,0.0,0.0,0.0,0.0,0.0,0.0,0.34931284993753176,1.9760928439728411,-1.0,-Infinity
ID590310,590310,8,2.761719226837158,4.141471328983233,4.546332634567121,2.157103653668462,49.693504095077515,13,0.1,1,,2.367088607594937,2.0,1.0,4.0,187.0,0.6440499898951428,0.0,0.0,0.0,0.0,0.0,0.0,0.33132935173832223,1.829360666394653,NaN,NaN
ID589945,589945,8,2.9085240364074707,4.009201901238595,4.357029192600764,2.114607136869558,53.5160813331604,14,0.1,1,,2.1645569620253164,2.0,1.0,4.0,171.0,0.6874400625963308,0.0,0.0,0.0,0.0,0.0,0.0,0.40499828825744616,1.8152714152934364,NaN,NaN
ID590057,590057,8,3.025256872177124,3.8183734388165633,4.409952453637885,2.3236428213383467,57.338658571243286,15,0.1,1,,2.0253164556962027,2.0,1.0,3.0,160.0,0.6400056799488298,0.0759493670886076,0.0,0.0,1.0,6.0,0.2666098608758891,0.35131964809384164,1.6454451366090657,-0.3516434038721296,-0.3090056983416555
ID590441,590441,8,2.03995680809021,3.7196054451339418,4.325128794332989,2.21584327949617,61.16123580932617,16,0.1,1,,1.481012658227848,1.0,1.0,2.0,117.0,0.5028319669802249,0.0,0.0,0.0,0.0,0.0,0.0,0.3001404472705384,1.3598786093735313,-1.0,-Infinity
