,,,,,TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,mt length,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.894393312,7.161330114,1.845557159,34.39566135,9,8.571428571,9,6,11,180,1.719634513,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.177184374,6.276390138,1.862137346,38.2174015,10,28.61904762,30,19,37,601,5.886222817,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.173892608,6.622469507,1.80044948,42.03914165,11,17.95238095,18,13,22,377,2.871866823,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.161077951,6.780696359,1.76381776,45.86088181,12,84.9047619,83,64,108,1783,13.58272713,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.137961886,6.870773971,1.6274697,49.68262196,13,145,145,101,188,3045,26.97220792,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.071834593,6.823005504,1.36751721,53.50436211,14,110.9047619,104,92,143,2329,16.40092913,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.13090085,7.318073789,2.022628752,57.32610226,15,106.9047619,104,88,131,2245,13.31504698,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.715845547,7.383481952,1.674552917,61.14784241,16,121.8571429,123,90,151,2559,18.14465683,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.618748989,7.351084859,1.761039031,64.96958256,17,82.76190476,83,56,100,1738,12.38105311,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.436163173,7.367723417,1.55899398,68.79132271,18,99.85714286,100,76,123,2097,13.5841294,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.695073985,7.317567413,1.543753456,72.61306286,19,51.0952381,51,38,60,1073,6.700035537,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,6.110886297,3.450560718,3.860480869,7.643480301,2,7.428571429,7,6,10,156,1.287300609,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,5.746456799,3.483791709,3.885939466,11.46522045,3,5.761904762,6,4,8,121,1.220850601,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,3.994498056,7.151052501,2.506322366,19.10870075,5,13.23809524,13,10,16,278,1.786190413,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,3.879530582,7.151112046,3.04693403,22.9304409,6,6.571428571,7,4,9,138,1.362770288,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,3.898175221,7.580019667,2.64909676,19.10870075,5,14.33333333,14,11,18,301,2.594866727,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,3.693750981,7.982258476,2.8,22.9304409,6,19.95238095,20,14,25,419,3.879126068,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,3.936590061,7.599723344,2.912883616,26.75218105,7,7.666666667,8,6,9,161,1.110555417,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,4.001926118,7.634379639,2.812603398,30.5739212,8,10.14285714,10,7,13,213,1.525965736,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,4.556371945,7.48928319,2.022440777,15.2869606,4,79.04761905,80,55,98,1660,12.53585334,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,4.075296477,7.445013915,1.996840692,19.10870075,5,110.8571429,110,89,136,2328,14.1572798,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.86864989,7.73825619,2.22984062,22.9304409,6,178.5714286,181,137,224,3750,27.00476148,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,4.360908469,7.29102923,2.027884663,26.75218105,7,90.80952381,89,67,116,1907,15.12487702,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,4.261386277,7.426942958,2.154812622,30.5739212,8,81.66666667,81,64,105,1715,12.89702808,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,4.325882364,7.520098143,1.990508816,34.39566135,9,97.38095238,93,71,126,2045,15.73682366,,,,,,,,,,,,,,,,,,,,,,,,,,
